ctitle,etitle,link,imgsrc,rating,num,inq,bd
钢琴家,  The Pianist,https://movie.douban.com/subject/1296736/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,9.3,561323,音乐能化解仇恨。,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod... 2002   英国 法国 波兰 德国   剧情 传记 战争 音乐
闻香识女人,  Scent of a Woman,https://movie.douban.com/subject/1298624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,9.1,806020,史上最美的探戈。,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino   克里斯... 1992   美国   剧情
指环王2：双塔奇兵,  The Lord of the Rings: The Two Towers,https://movie.douban.com/subject/1291572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,9.2,690176,承前启后的史诗篇章。,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood   西恩... 2002   美国 新西兰   剧情 动作 奇幻 冒险
天堂电影院,  Nuovo Cinema Paradiso,https://movie.douban.com/subject/1291828/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,9.2,636737,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp... 1988   意大利 法国   剧情 爱情
海蒂和爷爷,  Heidi,https://movie.douban.com/subject/25958717/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,9.3,509035,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen  ... 2015   德国 瑞士   剧情 冒险 家庭
罗马假日,  Roman Holiday,https://movie.douban.com/subject/1293839/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,9.1,887184,爱情哪怕只有一天。,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn   格... 1953   美国   喜剧 剧情 爱情
黑客帝国,  The Matrix,https://movie.douban.com/subject/1291843/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,9.1,776045,视觉革命。,导演: 安迪·沃卓斯基 Andy Wachowski   拉娜·沃卓斯基 Lana Wachowski   主... 1999   美国   动作 科幻
指环王1：护戒使者,  The Lord of the Rings: The Fellowship of the Ring,https://movie.douban.com/subject/1291571/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2373910134.jpg,9.1,779504,传说的开始。,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood   西恩... 2001   新西兰 美国   剧情 动作 奇幻 冒险
大闹天宫, ,https://movie.douban.com/subject/1418019/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,9.4,392706,经典之作，历久弥新。,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu   富润生 Runsheng Fu... 1961(中国大陆)   1964(中国大陆)   1978(中国大陆)   中国大陆   剧情 动画 奇幻 古装
死亡诗社,  Dead Poets Society,https://movie.douban.com/subject/1291548/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,9.1,652249,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams   罗伯... 1989   美国   剧情
教父2,  The Godfather: Part II,https://movie.douban.com/subject/1299131/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,9.3,500802,优雅的孤独。,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A... 1974   美国   剧情 犯罪
辩护人,  변호인,https://movie.douban.com/subject/21937445/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,9.2,549083,电影的现实意义大过电影本身。,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song   金英爱 Yeong-ae... 2013   韩国   剧情
绿皮书,  Green Book,https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,8.9,1490952,去除成见，需要勇气。,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen  ... 2018   美国 中国大陆   剧情 喜剧 传记 音乐
狮子王,  The Lion King,https://movie.douban.com/subject/1301753/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,9.1,768920,动物版《哈姆雷特》。,导演: Roger Allers   罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马... 1994   美国   动画 冒险 歌舞
搏击俱乐部,  Fight Club,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,9.0,784266,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton   布拉... 1999   美国 德国 意大利   剧情 动作 悬疑 惊悚
饮食男女,  飲食男女,https://movie.douban.com/subject/1291818/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,9.2,563748,人生不能像做菜，把所有的料都准备好了才下锅。,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung   杨贵媚 Kuei-Mei Yang   吴... 1994   中国台湾 美国   剧情 家庭
美丽心灵,  A Beautiful Mind,https://movie.douban.com/subject/1306029/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,9.1,710248,爱是一切逻辑和原由。,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe   艾德·哈... 2001   美国   传记 剧情
本杰明·巴顿奇事,  The Curious Case of Benjamin Button,https://movie.douban.com/subject/1485260/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,9.0,911214,在时间之河里感受溺水之苦。,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett   ... 2008   美国   剧情 爱情 奇幻
